,time,file,y,color,planet,last_value
159,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc3_cvisc7,[0.99999996 0.99999996 0.99999996 ... 0.20616561 0.20616296 0.20616031],orange,c,0.2061603060876146
160,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc4_cvisc0,[0.99999943 0.99999926 0.99999908 ... 0.0372791  0.03727858 0.03727806],orange,c,0.03727805980747338
161,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc4_cvisc1,[0.99999959 0.99999948 0.99999937 ... 0.04630592 0.04630527 0.04630463],orange,c,0.046304625151156444
162,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc4_cvisc2,[0.9999997  0.99999963 0.99999957 ... 0.05761258 0.05761177 0.05761096],orange,c,0.057610963344809925
163,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc4_cvisc3,[0.99999978 0.99999974 0.9999997  ... 0.07172859 0.07172759 0.07172658],orange,c,0.07172658269553218
164,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc4_cvisc4,[0.99999984 0.99999981 0.99999979 ... 0.08927672 0.08927548 0.08927423],orange,c,0.08927423423017615
165,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc4_cvisc5,[0.99999988 0.99999987 0.99999985 ... 0.11097196 0.11097043 0.1109689 ],orange,c,0.11096890394427657
166,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc4_cvisc6,[0.99999991 0.99999991 0.9999999  ... 0.13760812 0.13760625 0.13760439],orange,c,0.13760438635294203
167,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc4_cvisc7,[0.99999994 0.99999993 0.99999993 ... 0.17002715 0.17002489 0.17002263],orange,c,0.17002263245038482
168,[0.0000e+00 1.0000e-04 2.0000e-04 ... 7.1998e+00 7.1999e+00 7.2000e+00],cmass2_cecc5_cvisc0,[0.99999912 0.99999884 0.99999856 ... 0.0322236  0.03222314 0.03222269],orange,c,0.032222687067102976
